sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,,,,
JAH200,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH201,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH202,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH203,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH204,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH206,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH208,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH209,AMCO,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH210,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH211,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH212,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH213,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH214,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH215,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH216,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH217,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH218,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH219,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH220,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH221,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH222,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH223,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH224,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH225,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH226,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH227,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH228,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH229,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,,,,,,,
JAH247,LESC,Pool 19,2025-03-18,MS_Flyway,,,,,,,
JAH248,CANV,Pool 19,2025-03-18,MS_Flyway,,,,,,,
JAH251,CANV,Pool 19,2025-03-18,MS_Flyway,,,,,,,
