sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer
JAH517,RNDU,"Anderson Lake, IL",3/18/2026; 9:20am,MS_Flyway,N,,
JAH518,RNDU,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH519,RNDU,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH520,CANV,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH521,CANV,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH522,CANV,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH523,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH524,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH525,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH526,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH527,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH528,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH529,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH530,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH531,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH532,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,35.8,,
JAH533,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH534,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH535,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH536,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH537,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH538,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH539,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH540,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH541,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH542,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH543,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH544,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH545,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH546,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH547,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH548,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH549,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH550,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH551,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH552,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH553,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH554,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH555,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH556,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH557,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH558,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH559,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH560,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH561,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH562,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,37.8,,
JAH563,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH564,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH565,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH566,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH567,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH568,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH569,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH570,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH571,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH572,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH573,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH574,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH575,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH576,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH577,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH578,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH579,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH580,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,36.7,,
JAH581,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH582,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH583,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH584,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH585,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH586,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH587,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH588,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH589,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH590,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH591,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH592,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH593,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH594,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH595,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH596,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH597,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH598,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH599,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH600,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH601,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH602,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH603,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,,
JAH604,LESC,"Anderson Lake, IL",03/18/2026; 2:01pm,MS_Flyway,N,,
JAH605,LESC,"Chautauqua Wildlife Reserve, IL",03/19/2026; 9:40am,MS_Flyway,N,,
JAH606,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH607,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH608,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH609,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH610,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH611,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH612,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH613,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH614,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH615,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH616,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.5,,
JAH617,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH618,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,37.9,,
JAH619,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH620,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH621,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH622,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH623,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH624,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH625,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH626,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH627,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH628,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH629,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH630,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
JAH631,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,34.6,,
JAH632,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,,
