sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,...9,...10,...11,...12,rand,extraction_set
JAH256,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.024613684508949518,1
JAH219,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.04205953353084624,1
JAH206,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.04555649938993156,1
JAH272,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.04583116667345166,2
JAH287,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.09484066092409194,2
JAH216,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.10292468266561627,2
JAH278,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.12189925997518003,3
JAH282,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.12753165024332702,3
JAH267,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.13880606344901025,3
JAH262,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.14280002238228917,4
JAH248,CANV,Pool 19,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.1471136473119259,4
JAH266,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.15244474774226546,4
JAH280,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.2065313896164298,5
JAH259,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.21640793583355844,5
JAH261,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.2316257853526622,5
JAH268,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.23303409945219755,6
JAH218,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.24608773435465991,6
JAH270,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.26597264036536217,6
JAH289,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.2743836445733905,7
JAH200,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.28757752012461424,7
JAH247,LESC,Pool 19,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.2891597372945398,7
JAH260,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.31818100763484836,8
JAH220,CANV,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.3279207192827016,8
JAH265,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.36884545092470944,8
JAH285,REDH,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.3744627758860588,9
JAH288,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.3839696377981454,9
JAH202,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.40897692181169987,9
JAH264,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.41372432629577816,10
JAH263,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.4145463358145207,10
JAH273,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.44220007420517504,10
JAH291,RNDU,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.44851634139195085,11
JAH213,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.4533341561909765,11
JAH211,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.45661473530344665,11
JAH269,LESC,Chautauqua NWR,2025-03-18,MS_Flyway,NA,NA,NA,NA,NA,NA,NA,0.4659624502528459,12
