sample_id,Species Code,Collection Location,Collection_date,Project,M gene CT value,Hemagglutination titer,Hemolysis titer,rand,extraction_set
JAH521,CANV,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,6.247733253985643e-4,1
JAH720,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.006300783948972821,1
JAH756,LESC,"Chautauqua Wildlife Reserve, IL",NA,NA,NA,NA,NA,0.008215519832447171,1
JAH750,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.009429905097931623,2
JAH590,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.010467111831530929,2
JAH817,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.017765811877325177,2
JAH717,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.020024300552904606,3
JAH775,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.03372777299955487,3
JAH777,REDH,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.03487480408512056,3
JAH662,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.04766362742520869,4
JAH672,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.052843942772597075,4
JAH737,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,35.7,NA,NA,0.05462910910136998,4
JAH762,LESC,"Chautauqua Wildlife Reserve, IL",3/20/26,NA,NA,NA,NA,0.055301926331594586,5
JAH733,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,36.8,NA,NA,0.05795856053009629,5
JAH682,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.058478488586843014,5
JAH560,LESC,"Anderson Lake, IL",3/18/26,MS_Flyway,N,NA,NA,0.060720571549609303,6
JAH735,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.06492829998023808,6
JAH741,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.07190409721806645,6
JAH721,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,33.8,NA,NA,0.07205712399445474,7
JAH727,LESC,"Chautauqua Wildlife Reserve, IL",3/19/26,MS_Flyway,N,NA,NA,0.07438451331108809,7
