Sample Location,Ship Date,Sample,Project,Collection_Date,Sub-Location,Band,SPECIES,AGE,SEX,Mass(g),Wing,Culmen,Tarsus,BCI (1-5),Swab collected,IAV Matrix PCR,H5 2344 PCR,Isolation,Subtype,Single/Mix,LPAI/HPAI,CleavageSite,H5N1 Genotype,Blood Collected,NP_value_0.5threshold,NP_result,H5_SN,H5_result,Comments,MDZoonotics,SWABS,B,C,E,F,RBC,ENCOUNTER,"FULL/PARTIAL
SAMPLE","ENCOUNTERED
IN PREVIOUS
SEASON?",PrevBlood/EVial,PrevbELISA
"Sent to UMass, e vials to URI",1/14/26,25JH0001,Poplar Waterfowl,11/26/25,5AB,2227-24532,ABDX,AHY,M,1450,280,59.1,48.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,11/14/24,,
"Sent to UMass, e vials to URI",1/14/26,25JH0002,Poplar Waterfowl,11/26/25,7,2497-33290,MALL,AHY,M,1100,275,54,45,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0003,Poplar Waterfowl,11/26/25,7,2497-33289,MALL,HY,M,850,279,57.7,47,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0005,Poplar Waterfowl,11/26/25,7,2497-33291,MALL,HY,M,1280,274,58.2,47.6,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0006,Poplar Waterfowl,11/26/25,7,2497-33293,ABDU,AHY,F,880,254,47.6,41.5,2,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,N,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0007,Poplar Waterfowl,11/26/25,1B,2497-33294,MALL,AHY,F,1150,265,50.4,43.7,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0008,Poplar Waterfowl,11/26/25,1B,2497-30832,MALL,AHY,F,1040,281,52,47.2,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0009,Poplar Waterfowl,11/26/25,1B,2497-33296,MALL,AHY,M,1300,290,50.8,40.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0011,Poplar Waterfowl,11/26/25,1B,2497-33297,MALL,AHY,M,1350,289,50.6,43,4,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0012,Poplar Waterfowl,11/26/25,1B,2497-33298,MALL,AHY,M,1190,286,52.2,41,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,N,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0013,Poplar Waterfowl,11/26/25,1B,2497-33299,MALL,AHY,M,1100,262,51,45.3,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0014,Poplar Waterfowl,11/26/25,1B,2497-33300,MALL,AHY,M,1250,294,54.3,44.7,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,N,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0015,Poplar Waterfowl,11/26/25,1B,2497-85301,MALL,AHY,F,1200,270,52,47.7,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0016,Poplar Waterfowl,11/26/25,1B,2497-85302,MALL,HY,F,900,247,53.7,43,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0017,Poplar Waterfowl,11/26/25,1B,2497-85303,MALL,AHY,M,1100,280,57.3,47.3,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0018,Poplar Waterfowl,11/26/25,1B,2497-85304,ABDU,AHY,M,1300,279,55.7,49.8,2.5,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0019,Poplar Waterfowl,12/3/25,7,2497-85305,MALL,AHY,F,1250,258,52.7,45.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,N,N,Y,N,N,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0020,Poplar Waterfowl,12/3/25,7,2497-85306,MALL,HY,F,1100,242,52.8,45.1,2,Y,,,,,,,,,Y,,,,,,Yes,Y,N,N,Y,N,N,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0021,Poplar Waterfowl,12/3/25,1B,2497-85307,MALL,AHY,M,1150,271,54,43.1,3,Y,,,,,,,,,Y,,,,,,Yes,N,Y,Y,Y,Y,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0022,Poplar Waterfowl,12/3/25,1B,2497-33224,ABDU,HY,M,,,,,,,,,,,,,,,Y,,,,,RECAP BLOOD ONLY,Yes,Y,Y,Y,Y,N,Y,2,PARTIAL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0023,Poplar Waterfowl,12/3/25,1B,2497-85308,MALL,AHY,M,1160,280,56,45.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0025,Poplar Waterfowl,12/3/25,1B,2497-85310,MALL,AHY,M,1250,295,53.8,47,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
"Sent to UMass, e vials to URI",1/14/26,25JH0026,Poplar Waterfowl,12/3/25,1B,2497-85311,MALL,AHY,F,1050,268,52.6,45.4,3,Y,,,,,,,,,Y,,,,,,Yes,Y,Y,Y,Y,N,Y,1,FULL,,,
